Word,Frequency,IDF,Score
generalise,5,3.079,0.37464
neighbours,5,3.079,0.37464
assignment,5,3.079,0.37464
halving,5,3.079,0.37464
bsat,5,3.079,0.37464
grade,5,3.079,0.37464
female,5,3.079,0.37464
medoid,5,3.079,0.37464
tering,5,3.079,0.37464
fairlets,5,3.079,0.37464
introductory,5,3.079,0.37464
modin,5,3.079,0.37464
apache,5,3.079,0.37464
pdfs,5,3.079,0.37464
private,9,1.693,0.37077
split,9,1.693,0.37077
hidden,9,1.693,0.37077
hyperparameters,9,1.693,0.37077
majority,9,1.693,0.37077
acquired,9,1.693,0.37077
reliable,9,1.693,0.37077
resource,9,1.693,0.37077
substantial,9,1.693,0.37077
assumes,9,1.693,0.37077
transform,9,1.693,0.37077
cold,9,1.693,0.37077
tor,9,1.693,0.37077
especially,15,1.0,0.36497
structures,15,1.0,0.36497
efficiency,15,1.0,0.36497
off,13,1.134,0.35855
attention,13,1.134,0.35855
extended,13,1.134,0.35855
